resultId,Kittens/Pleasant-Puppies/Unpleasant,Puppies/Pleasant-Kittens/Unpleasant,IAT_Score,catdogexplicit,Tiktok,Pinterest
602ab333229faf1602cb9e59,844.0576923,846.3269231,2.269230769,Cat,4,2
602af190229faf1602cb9e88,1191.634615,1109.557692,-82.07692308,Dog,4,0
602b00c4229faf1602cb9e8b,856.2307692,1029.615385,173.3846154,Dog,3,0
602b6d14229faf1602cb9e9f,1306.903846,1475.019231,168.1153846,Dog,4,2
602bc526229faf1602cb9eac,861.5,759.9230769,-101.5769231,Dog,3,2
602c65e3229faf1602cb9ee2,829.4423077,735.1346154,-94.30769231,Cat,3,0
602d2bc9229faf1602cb9f02,1227.769231,1229.269231,1.5,Dog,2,2
602d2d0b229faf1602cb9f05,1119.538462,1051.519231,-68.01923077,Dog,4,2
602d3785229faf1602cb9f09,1223.75,963.4038462,-260.3461538,Dog,4,0
602d9dc9229faf1602cb9f2a,1660.730769,1253.634615,-407.0961538,Dog,4,4
602dacb4229faf1602cb9f2e,953.6346154,902.0384615,-51.59615385,Dog,4,2
602ddc6a229faf1602cb9f6b,892.5961538,1093.153846,200.5576923,Cat,3,1
602de672229faf1602cb9f6e,1263.461538,879.2115385,-384.25,Dog,4,2
602de6a4229faf1602cb9f6f,980.8076923,991.0576923,10.25,Dog,4,2
602e0d4f229faf1602cb9f70,1215.134615,1017.865385,-197.2692308,Dog,4,4
602e10d4229faf1602cb9f73,944.2692308,1307.923077,363.6538462,Cat,3,2
602ea01f229faf1602cb9f8e,1694.961538,1432.961538,-262,Dog,0,0
602eb273229faf1602cb9f90,987.6538462,1151.365385,163.7115385,Dog,4,3
602ec250229faf1602cb9f9e,1053.692308,967.0961538,-86.59615385,Dog,0,1
602ec873229faf1602cb9fa3,1048.692308,789.1153846,-259.5769231,Dog,4,2
602ec899229faf1602cb9fa4,1028.923077,851.5769231,-177.3461538,Cat,0,0
602ec921229faf1602cb9fa5,1141.269231,999.5576923,-141.7115385,Dog,3,3
602ecb0b229faf1602cb9fa7,1040.596154,1060.846154,20.25,Dog,4,2
602ecbb3229faf1602cb9fa9,1303.326923,974.6538462,-328.6730769,Dog,4,2
602ecd04229faf1602cb9faf,1011.615385,1034.384615,22.76923077,Cat,2,1
602ecd6c229faf1602cb9fb1,1071.634615,927.1153846,-144.5192308,Dog,4,2
602ece63229faf1602cb9fb5,1799.826923,1385.346154,-414.4807692,Dog,0,1
602ed06b229faf1602cb9fb9,988.6923077,1121.326923,132.6346154,Cat,4,1
602ed6f3229faf1602cb9fc2,1171.730769,1035.615385,-136.1153846,Dog,3,1
602ee1ad229faf1602cb9fc4,1251.461538,1011.326923,-240.1346154,Dog,4,2
602ee77d229faf1602cb9fc9,963.8269231,1492.807692,528.9807692,Dog,4,1
602eee10229faf1602cb9fd0,1049.865385,1335.365385,285.5,Dog,4,2
602ef0df229faf1602cb9fd5,905.6538462,894.3269231,-11.32692308,Cat,4,3
602f0a1d229faf1602cb9fee,1004.384615,1032.961538,28.57692308,Dog,3,0
602f180d229faf1602cb9ff1,1022.538462,792.4038462,-230.1346154,Dog,1,0
602f2776229faf1602cba001,973.5192308,819.4230769,-154.0961538,Dog,0,0
602fd5dd229faf1602cba00e,903.8269231,910.4615385,6.634615385,Dog,4,2
602fe6e4229faf1602cba012,1017.288462,1097.230769,79.94230769,Dog,4,3
602feae9229faf1602cba013,1008.442308,1631.038462,622.5961538,Dog,1,1
602ff602229faf1602cba017,933.2115385,854.5961538,-78.61538462,Dog,3,2
602ff625229faf1602cba018,1378.480769,1886.769231,508.2884615,Dog,3,0
602ff7bf229faf1602cba01b,960.6346154,1154.538462,193.9038462,Cat,4,3
602ffdf3229faf1602cba022,1105.423077,1141.211538,35.78846154,Cat,4,2
603015f0229faf1602cba026,941.7115385,1020.423077,78.71153846,Cat,0,4
